rank,country,aisi_score,aisi_score_raw,breadth_factor,data_coverage,dims_scored,low_confidence,hq_attribution_flag,dim_research_capacity,dim_innovation_output,dim_commercial_ecosystem,dim_hardware_sovereignty,dim_collaboration_network,dim_talent_base,dim_governance_readiness,talent_tier,innovation_output_latest_year,has_publications,has_citations,has_patents,has_investment,has_semiconductor,has_collaboration,has_parat,has_governance,has_workforce
1,United States,79.38192444058376,79.38192444058376,1.0,1.0,7,False,False,56.209012811067794,96.20254838800616,81.24771319133237,73.29162280701753,100.0,100.0,82.74582560296847,1.0,2020,True,True,True,True,True,True,True,True,True
2,China,61.75886465388699,61.75886465388699,1.0,1.0,7,False,False,55.28266613885793,100.0,65.0666408692162,46.43077956989248,99.26316818485874,38.84883217289371,44.66533466533467,1.0,2020,True,True,True,True,True,True,True,True,True
3,South Korea,57.19464690892441,60.20489148307833,0.9500000000000001,0.9500000000000001,6,False,False,49.70588293853886,92.18857090177644,57.70275850175922,40.40621855345912,75.6615669446709,80.0,0.0,2.0,2020,True,True,True,True,True,True,True,False,False
4,Japan,53.22193357634608,56.023087975101134,0.9500000000000001,0.9500000000000001,6,False,False,39.86076337158985,90.87214824555303,52.85925732279011,68.68200757575758,77.53210613395484,0.0,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
5,Singapore,52.48742030479851,61.74990624093942,0.8500000000000001,0.8500000000000001,5,False,True,58.286365583097265,77.69783763851407,68.61599669827893,48.82287280701754,64.9310800198354,,0.0,,2020,True,True,True,True,True,True,False,False,False
6,Germany,52.33636182372138,55.09090718286461,0.9500000000000001,0.9500000000000001,6,False,False,49.55316185292414,84.47644616560585,54.658351780461324,45.69257183908045,93.47172352009238,27.258630364286756,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
7,United Kingdom,48.447215652852684,50.99706910826598,0.9500000000000001,0.9500000000000001,6,False,False,54.70203410123437,82.1095917832811,49.710352862816,19.284166666666668,95.5910126091296,56.47707195427296,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
8,Netherlands,43.628119003497076,45.92433579315481,0.9500000000000001,0.9500000000000001,6,False,False,46.89679025031731,59.30276739028483,42.89345073818952,50.61208333333334,72.74501776631666,4.843839756038102,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
9,India,41.54369872905402,69.23949788175669,0.6000000000000001,0.6000000000000001,4,True,False,47.49089531553493,78.9585982826404,78.6098369578456,0.0,89.59525063963707,,0.0,,2020,True,True,True,True,False,True,False,False,False
10,Austria,41.34115209171131,48.63664951966036,0.8500000000000001,0.8500000000000001,5,False,False,41.90723525579506,63.38823140771615,54.59995016849305,37.93416666666667,60.95877258059187,,0.0,,2020,True,True,True,True,True,True,False,False,False
11,Canada,41.312997238183804,59.01856748311972,0.7000000000000001,0.7000000000000001,5,False,False,49.78769763220596,84.4172736204037,41.21432806422745,0.0,89.00002111673129,60.0,0.0,3.0,2020,True,True,True,True,False,True,True,False,False
12,Australia,41.098122451346285,68.4968707522438,0.6000000000000001,0.6000000000000001,4,True,False,54.475415078393794,83.50657447545893,66.92191467777671,0.0,85.85340657586683,,0.0,,2020,True,True,True,True,False,True,False,False,False
13,Sweden,39.75863221083958,41.85119180088376,0.9500000000000001,0.9500000000000001,6,False,False,44.89222546386698,70.67156912190217,41.75583354516322,16.708333333333332,66.66019336567754,43.181920391309966,0.0,2.0,2020,True,True,True,True,True,True,True,False,False
14,Taiwan,38.56398865045016,40.593672263631746,0.9500000000000001,0.9500000000000001,6,False,False,42.83741863521839,82.07465726423086,28.937756635071914,22.879305555555554,62.83548515154935,30.361543602911162,0.0,2.0,2020,True,True,True,True,True,True,True,False,False
15,Finland,37.941846537905036,54.2026379112929,0.7000000000000001,0.7000000000000001,5,False,False,44.382080042376785,67.52093668332299,46.431881114379536,0.0,60.101804790609535,66.45823564524841,0.0,2.0,2020,True,True,True,True,False,True,True,False,False
16,Spain,36.834730675576466,61.39121779262744,0.6000000000000001,0.6000000000000001,4,True,False,43.992198545759265,76.93716854373913,61.52640227495437,0.0,83.80870459745731,,0.0,,2020,True,True,True,True,False,True,False,False,False
17,Italy,36.47321316032122,42.909662541554376,0.8500000000000001,0.8500000000000001,5,False,False,46.41780960216079,73.8656573570756,54.27473631271804,3.948333333333333,85.35544080901575,,0.0,,2020,True,True,True,True,True,True,False,False,False
18,Switzerland,35.09552470161802,36.94265758065054,0.9500000000000001,0.9500000000000001,6,False,False,52.76513817012618,59.34897248674738,42.57146273441779,4.828333333333333,71.01021159404053,23.68264734661757,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
19,Brazil,34.74201446377656,57.9033574396276,0.6000000000000001,0.6000000000000001,4,True,False,36.43899126576391,78.44684417797237,63.82868935421039,0.0,58.429034261716886,,0.0,,2020,True,True,True,True,False,True,False,False,False
20,France,34.49295076687828,36.308369228292925,0.9500000000000001,0.9500000000000001,6,False,False,44.00618052328482,79.23227083384911,41.5710921110984,2.7466666666666666,88.67689549583659,3.721441734657707,0.0,1.0,2020,True,True,True,True,True,True,True,False,True
21,Saudi Arabia,33.67283107451328,56.1213851241888,0.6000000000000001,0.6000000000000001,4,True,False,54.31123845864707,26.61211279590144,73.44419196971316,0.0,82.59856138912039,,0.0,,2020,True,True,True,True,False,True,False,False,False
