provider_name,provider_id,provider_type,provider_hq_country,effective_country,input_name,input_id,input_name_full,input_type,production_stage,stage_id,input_data_year,share_provided,provision_year,input_market_size,source
ACM Research,P313,organization,USA,USA,Wet etching and cleaning tools,N49,Wet etching and cleaning tools,tool_resource,,,2024.0,11.4,2024,$6.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ACM Research,P313,organization,USA,USA,Etch and clean tools,N55,Etch and clean tools,tool_resource,,,2024.0,3.0,2024,$24.7 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Dry etching tools (adv. pkg.),N101,Dry etching tools (adv. pkg.),tool_resource,,,2024.0,18.1,2024,$831.6 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Dry etch tools,N103,Dry etch tools,tool_resource,,,2024.0,5.5,2024,$18.5 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Fabrication tools (for advanced packaging),N109,Fabrication tools (for advanced packaging),tool_resource,,,2024.0,2.5,2024,$5.9 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Etch and clean tools (adv. pkg.),N129,Etch and clean tools (adv. pkg.),tool_resource,,,2024.0,12.2,2024,$1.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Low-pressure CVD tools,N39,Low-pressure CVD tools,tool_resource,,,2024.0,1.2,2024,$1.8 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Dry etching and cleaning tools,N48,Dry etching and cleaning tools,tool_resource,,,2024.0,5.3,2024,$19.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Conductor etching tools,N50,Conductor etching tools,tool_resource,,,2024.0,1.4,2024,$9.9 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Insulator etching tools,N51,Insulator etching tools,tool_resource,,,2024.0,9.7,2024,$7.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AMEC,P123,organization,CHN,CHN,Etch and clean tools,N55,Etch and clean tools,tool_resource,,,2024.0,3.5,2024,$24.7 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AP Systems,P120,organization,KOR,KOR,Rapid thermal processing tools,N43,Rapid thermal processing tools,tool_resource,,,2024.0,1.2,2024,$1.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
APIC Yamada,P316,organization,JPN,JPN,Packaging tools,N76,Packaging tools,tool_resource,,,2024.0,11.7,2024,$675.9 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM International,P112,organization,NLD,NLD,CVD tools (adv. pkg.),N110,CVD tools (adv. pkg.),tool_resource,,,2024.0,2.8,2024,$383.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
