country,field,year,disclosed_investment,complete
Brazil,Agriculture,2018,3,True
Switzerland,Agriculture,2022,3,True
Denmark,Agriculture,2021,2,True
India,Agriculture,2022,17,True
South Africa,Agriculture,2019,2,True
New Zealand,Agriculture,2021,0,True
Argentina,Agriculture,2017,1,True
Portugal,All,2025,90,False
Italy,All,2015,40,True
Uruguay,All,2022,6,True
Canada,All,2017,408,True
Poland,All,2025,84,False
Qatar,All,2018,0,True
Ecuador,All,2021,0,True
Panama,All,2023,0,True
Slovakia,All,2023,23,True
Honduras,All,2024,1,True
Serbia,All,2023,43,True
Zambia,All,2023,0,True
Czechia,All,2016,2,True
Croatia,All,2021,1,True
Tunisia,All,2025,1,False
Iceland,All,2017,3,True
Taiwan,All,2022,139,True
Austria,Biotechnology,2015,1,True
Chile,Biotechnology,2025,0,False
Sweden,Biotechnology,2017,0,True
Australia,Biotechnology,2018,1,True
Taiwan,Biotechnology,2024,2,True
Germany,Biotechnology,2019,2,True
Israel,Biotechnology,2024,27,True
India,Community and Lifestyle,2024,13,True
United Kingdom,Community and Lifestyle,2018,24,True
Romania,Community and Lifestyle,2019,0,True
Romania,Community and Lifestyle,2024,1,True
Israel,Community and Lifestyle,2022,15,True
Spain,Community and Lifestyle,2022,6,True
Uruguay,Community and Lifestyle,2017,0,True
Singapore,Community and Lifestyle,2019,49,True
Pakistan,Community and Lifestyle,2024,0,True
South Korea,Computer Vision,2018,6,True
Netherlands,Computer Vision,2022,1,True
Japan,Computer Vision,2024,3,True
Finland,Computer Vision,2015,1,True
Taiwan,Computer Vision,2025,13,False
Poland,Computer Vision,2024,1,True
India,Computer Vision,2025,8,False
Australia,Computer Vision,2017,1,True
Malaysia,Consumer goods,2022,15,True
Brazil,Consumer goods,2021,6,True
Brazil,Consumer goods,2024,0,True
Israel,Consumer goods,2021,39,True
Ireland,Consumer goods,2021,6,True
Sri Lanka,Consumer goods,2024,1,True
United States,Cyber Security,2021,1754,True
Romania,Cyber Security,2020,1,True
Singapore,Cyber Security,2024,3,True
Germany,Cyber Security,2019,4,True
Czechia,Cyber Security,2021,3,True
Saudi Arabia,Cyber Security,2025,3,False
Austria,Cyber Security,2023,0,True
Spain,Cyber Security,2017,0,True
Egypt,Data and analytics,2016,0,True
Indonesia,Data and analytics,2023,10,True
New Zealand,Data and analytics,2023,15,True
Netherlands,Data and analytics,2020,38,True
Switzerland,Data and analytics,2018,65,True
Taiwan,Data and analytics,2018,23,True
Taiwan,Data and analytics,2024,85,True
Latvia,Data and analytics,2021,0,True
United Kingdom,Data and analytics,2018,405,True
United Kingdom,Data and analytics,2023,1644,True
Peru,Data and analytics,2023,1,True
Czechia,Data and analytics,2024,12,True
United Arab Emirates,Data and analytics,2018,8,True
Saudi Arabia,Data and analytics,2025,687,False
Bangladesh,Education,2022,2,True
Australia,Education,2017,2,True
Australia,Education,2018,1,True
Singapore,Education,2020,0,True
Argentina,Education,2019,0,True
Italy,Education,2016,0,True
Finland,Education,2022,0,True
Poland,Education,2018,0,True
China (mainland),Energy and natural resources,2024,18,True
Colombia,Energy and natural resources,2023,0,True
Belgium,Energy and natural resources,2016,1,True
Belgium,Energy and natural resources,2020,2,True
United Kingdom,Energy and natural resources,2017,11,True
Singapore,Energy and natural resources,2017,1,True
Chile,Energy and natural resources,2025,0,False
Austria,Energy and natural resources,2023,4,True
Slovakia,Finance,2025,9,False
Argentina,Finance,2021,2,True
Poland,Finance,2020,5,True
New Zealand,Finance,2018,0,True
Denmark,Finance,2023,9,True
Japan,Finance,2024,42,True
Portugal,Finance,2020,1,True
Portugal,Finance,2021,54,True
Saudi Arabia,Gaming,2020,1,True
Germany,Gaming,2019,0,True
Spain,Gaming,2021,0,True
Japan,Gaming,2024,0,True
Brazil,Gaming,2021,0,True
Thailand,General purpose,2018,0,True
France,General purpose,2018,176,True
Chile,General purpose,2016,0,True
South Africa,General purpose,2023,13,True
Greece,General purpose,2021,4,True
Greece,General purpose,2022,0,True
Ireland,General purpose,2025,79,False
Ukraine,General purpose,2024,1,True
New Zealand,General purpose,2015,4,True
New Zealand,General purpose,2020,7,True
Latvia,General purpose,2019,0,True
Egypt,General purpose,2019,1,True
Saudi Arabia,General purpose,2024,39,True
India,General purpose,2025,1627,False
Kenya,General purpose,2023,0,True
Tunisia,General purpose,2019,0,True
Malaysia,General purpose,2016,0,True
Australia,General purpose,2019,67,True
Poland,General purpose,2019,11,True
Kazakhstan,General purpose,2023,1,True
Spain,General purpose,2021,78,True
Greece,Hardware,2018,1,True
France,Hardware,2022,63,True
Chile,Hardware,2021,1,True
Philippines,Hardware,2022,0,True
Norway,Hardware,2023,12,True
Austria,Hardware,2022,1,True
Estonia,Hardware,2021,3,True
Mexico,Hardware,2015,0,True
Spain,Hardware,2023,14,True
United Kingdom,Hardware,2016,227,True
United Kingdom,Hardware,2017,67,True
Netherlands,Healthcare and Life Sciences,2021,34,True
Indonesia,Healthcare and Life Sciences,2023,2,True
Germany,Healthcare and Life Sciences,2024,54,True
Zimbabwe,Healthcare and Life Sciences,2019,0,True
Kenya,Healthcare and Life Sciences,2021,1,True
New Zealand,Healthcare and Life Sciences,2017,0,True
Saudi Arabia,Healthcare and Life Sciences,2021,2,True
India,Information Technology,2021,79,True
United Arab Emirates,Information Technology,2016,0,True
South Africa,Information Technology,2022,108,True
Ukraine,Information Technology,2020,0,True
Poland,Information Technology,2018,5,True
Uruguay,Information Technology,2024,1,True
France,Information Technology,2016,41,True
Slovenia,Information Technology,2015,0,True
Pakistan,Information Technology,2024,0,True
South Korea,Information Technology,2018,34,True
Sweden,Information Technology,2017,7,True
Seychelles,Information Technology,2016,0,True
Hungary,Information Technology,2022,3,True
Israel,Information Technology,2018,40,True
Romania,Information Technology,2021,4,True
United States,Lending and Investments,2016,36,True
Belgium,Lending and Investments,2018,2,True
Czechia,Lending and Investments,2025,22,False
Germany,Lending and Investments,2017,120,True
Australia,Lending and Investments,2024,0,True
Nigeria,Lending and Investments,2019,8,True
Iceland,Lending and Investments,2017,0,True
United States,Manufacturing,2015,108,True
United Arab Emirates,Manufacturing,2024,1,True
Sri Lanka,Media and Entertainment,2024,0,True
Italy,Media and Entertainment,2018,1,True
Argentina,Media and Entertainment,2016,0,True
Spain,Media and Entertainment,2018,3,True
Spain,Media and Entertainment,2024,1,True
Denmark,Media and Entertainment,2019,1,True
Turkey,Media and Entertainment,2023,1,True
United States,"Military, public safety and government",2022,609,True
Germany,"Military, public safety and government",2023,109,True
Italy,"Military, public safety and government",2025,4,False
Turkey,"Mobile, platforms & Internet services",2015,100,True
Uganda,"Mobile, platforms & Internet services",2020,0,True
Singapore,"Mobile, platforms & Internet services",2016,14,True
India,"Mobile, platforms & Internet services",2020,12210,True
Kazakhstan,"Mobile, platforms & Internet services",2023,0,True
Saudi Arabia,"Mobile, platforms & Internet services",2021,4,True
Finland,"Mobile, platforms & Internet services",2021,48,True
United Kingdom,"Mobile, platforms & Internet services",2015,115,True
Sweden,"Mobile, platforms & Internet services",2016,9,True
Sweden,"Mobile, platforms & Internet services",2022,18,True
Ireland,"Mobile, platforms & Internet services",2020,11,True
Germany,"Mobile, platforms & Internet services",2025,54,False
Spain,NLP,2022,6,True
Italy,NLP,2018,0,True
India,NLP,2016,1,True
Serbia,NLP,2018,0,True
Netherlands,NLP,2016,0,True
Netherlands,NLP,2020,2,True
Ireland,NLP,2018,3,True
Belgium,NLP,2021,0,True
Vietnam,NLP,2024,1,True
France,Navigation and mapping,2019,6,True
Chile,Navigation and mapping,2023,0,True
Estonia,Navigation and mapping,2021,1,True
Brazil,Navigation and mapping,2021,0,True
Romania,Navigation and mapping,2025,0,False
Taiwan,Other,2022,15,True
Spain,Other,2019,6,True
Iceland,Other,2017,0,True
Switzerland,Other,2020,52,True
Egypt,Other,2021,6,True
Israel,Other,2024,23,True
Switzerland,Privacy and Security,2018,3,True
Ireland,Privacy and Security,2021,2,True
Czechia,Privacy and Security,2025,22,False
Luxembourg,Privacy and Security,2020,6,True
France,Privacy and Security,2021,119,True
Turkey,Professional services,2022,10,True
Finland,Professional services,2024,0,True
Cyprus,Professional services,2024,0,True
Chile,Professional services,2023,0,True
Switzerland,Real estate,2019,0,True
China (mainland),Real estate,2016,42,True
South Africa,Real estate,2020,0,True
Chile,Real estate,2024,1,True
Brazil,Robotics,2022,0,True
Estonia,Robotics,2020,0,True
Canada,Robotics,2021,4,True
Uruguay,"Sales, retail, commerce, marketing",2025,1,False
Japan,"Sales, retail, commerce, marketing",2015,4,True
Pakistan,"Sales, retail, commerce, marketing",2018,0,True
Ghana,"Sales, retail, commerce, marketing",2017,0,True
Luxembourg,"Sales, retail, commerce, marketing",2025,1,False
Croatia,"Sales, retail, commerce, marketing",2021,0,True
