country,field,year,estimated_investment,complete
China (mainland),Agriculture,2022,81,True
India,Agriculture,2024,52,True
Nigeria,Agriculture,2022,1,True
Saudi Arabia,Agriculture,2020,4,True
South Africa,Agriculture,2022,1,True
Kenya,Agriculture,2019,7,True
Estonia,Agriculture,2024,3,True
Switzerland,Agriculture,2022,7,True
Russia,All,2020,29,True
Sri Lanka,All,2019,1,True
Mexico,All,2020,55,True
Chile,All,2021,276,True
Oman,All,2019,0,True
Bulgaria,All,2021,4,True
Lebanon,All,2017,1,True
Lebanon,All,2021,0,True
Vietnam,All,2025,268,False
Greece,All,2015,0,True
Greece,All,2018,2,True
Nigeria,All,2022,18,True
Turkey,All,2015,100,True
Indonesia,All,2023,40,True
Uganda,All,2019,0,True
Germany,Biotechnology,2021,36,True
United States,Biotechnology,2025,11595,False
Chile,Biotechnology,2022,1,True
Singapore,Biotechnology,2025,24,False
Sweden,Biotechnology,2024,1,True
South Africa,Biotechnology,2022,4,True
Spain,Community and Lifestyle,2020,7,True
Mexico,Community and Lifestyle,2019,0,True
China (mainland),Community and Lifestyle,2025,72,False
Japan,Community and Lifestyle,2020,17,True
United Kingdom,Community and Lifestyle,2018,61,True
Germany,Community and Lifestyle,2022,167,True
New Zealand,Computer Vision,2020,3,True
Belarus,Computer Vision,2017,3,True
South Korea,Computer Vision,2022,435,True
Canada,Computer Vision,2021,130,True
Ireland,Computer Vision,2025,22,False
Brazil,Computer Vision,2023,2,True
Belgium,Computer Vision,2018,2,True
Nigeria,Consumer goods,2023,0,True
Hungary,Consumer goods,2021,1,True
Switzerland,Consumer goods,2020,40,True
Turkey,Consumer goods,2023,2,True
United States,Consumer goods,2023,7008,True
Estonia,Consumer goods,2018,0,True
Denmark,Cyber Security,2019,0,True
Saudi Arabia,Cyber Security,2025,3,False
Germany,Cyber Security,2021,7,True
Sri Lanka,Cyber Security,2023,0,True
Poland,Data and analytics,2018,20,True
Malaysia,Data and analytics,2018,15,True
South Korea,Data and analytics,2016,60,True
Estonia,Data and analytics,2023,12,True
Australia,Data and analytics,2015,51,True
Norway,Data and analytics,2018,48,True
United States,Data and analytics,2020,42515,True
Portugal,Data and analytics,2021,72,True
Israel,Data and analytics,2018,708,True
Bulgaria,Data and analytics,2023,5,True
China (mainland),Data and analytics,2019,2541,True
Lebanon,Data and analytics,2021,0,True
Croatia,Data and analytics,2020,1,True
North Macedonia,Data and analytics,2024,0,True
Singapore,Data and analytics,2022,3009,True
Mexico,Data and analytics,2016,6,True
United Kingdom,Education,2020,268,True
South Korea,Education,2016,2,True
Hungary,Education,2023,1,True
Netherlands,Education,2022,168,True
Bangladesh,Education,2022,2,True
Italy,Education,2024,0,True
India,Energy and natural resources,2019,8,True
Austria,Energy and natural resources,2023,89,True
