country,field,year,disclosed_investment,estimated_investment,complete,pillar,is_group
Albania,All,2016,2.0,2,True,investment,False
Albania,All,2019,7.0,7,True,investment,False
Albania,All,2020,,5,True,investment,False
Albania,All,2024,5.0,5,True,investment,False
Albania,Media and Entertainment,2016,2.0,2,True,investment,False
Albania,Media and Entertainment,2019,7.0,7,True,investment,False
Albania,Media and Entertainment,2020,,5,True,investment,False
Albania,Media and Entertainment,2024,5.0,5,True,investment,False
Albania,"Mobile, platforms & Internet services",2016,2.0,2,True,investment,False
Albania,"Mobile, platforms & Internet services",2019,7.0,7,True,investment,False
Albania,"Mobile, platforms & Internet services",2020,,5,True,investment,False
Albania,"Mobile, platforms & Internet services",2024,5.0,5,True,investment,False
Albania,"Sales, retail, commerce, marketing",2016,2.0,2,True,investment,False
Albania,"Sales, retail, commerce, marketing",2019,7.0,7,True,investment,False
Albania,"Sales, retail, commerce, marketing",2020,,5,True,investment,False
Albania,"Sales, retail, commerce, marketing",2024,5.0,5,True,investment,False
Algeria,Agriculture,2022,0.0,0,True,investment,False
Algeria,All,2021,0.0,0,True,investment,False
Algeria,All,2022,0.0,0,True,investment,False
Algeria,Data and analytics,2022,0.0,0,True,investment,False
Algeria,General purpose,2022,0.0,0,True,investment,False
Algeria,Information Technology,2021,0.0,0,True,investment,False
Algeria,Other,2021,0.0,0,True,investment,False
Algeria,Software,2022,0.0,0,True,investment,False
Argentina,Agriculture,2017,1.0,1,True,investment,False
Argentina,Agriculture,2019,1.0,1,True,investment,False
Argentina,Agriculture,2023,0.0,0,True,investment,False
Argentina,Agriculture,2024,0.0,0,True,investment,False
Argentina,Agriculture,2025,0.0,0,False,investment,False
Argentina,All,2015,0.0,0,True,investment,False
Argentina,All,2016,0.0,1,True,investment,False
Argentina,All,2017,5.0,5,True,investment,False
Argentina,All,2018,1.0,1,True,investment,False
Argentina,All,2019,2.0,2,True,investment,False
Argentina,All,2020,3.0,3,True,investment,False
Argentina,All,2021,15.0,18,True,investment,False
Argentina,All,2022,8.0,16,True,investment,False
Argentina,All,2023,1.0,698,True,investment,False
Argentina,All,2024,6.0,561,True,investment,False
Argentina,All,2025,3.0,7,False,investment,False
Argentina,Biotechnology,2016,,0,True,investment,False
Argentina,Biotechnology,2017,4.0,4,True,investment,False
Argentina,Biotechnology,2020,2.0,2,True,investment,False
Argentina,Biotechnology,2021,1.0,2,True,investment,False
Argentina,Biotechnology,2022,1.0,1,True,investment,False
Argentina,Community and Lifestyle,2022,0.0,0,True,investment,False
Argentina,Community and Lifestyle,2024,,2,True,investment,False
Argentina,Computer Vision,2018,0.0,0,True,investment,False
