country,field,year,num_patent_applications,num_patent_granted,complete,pillar,is_group
Argentina,Agriculture,2016,1,,False,patents,False
Argentina,Agriculture,2017,1,1.0,True,patents,False
Argentina,Agriculture,2018,4,4.0,True,patents,False
Argentina,Agriculture,2019,3,3.0,False,patents,False
Argentina,Agriculture,2020,3,3.0,False,patents,False
Argentina,Agriculture,2021,4,,False,patents,False
Argentina,Agriculture,2022,2,0.0,False,patents,False
Argentina,All,2016,1,,False,patents,False
Argentina,All,2017,1,1.0,True,patents,False
Argentina,All,2018,7,6.0,True,patents,False
Argentina,All,2019,8,7.0,False,patents,False
Argentina,All,2020,10,7.0,False,patents,False
Argentina,All,2021,6,,False,patents,False
Argentina,All,2022,15,3.0,False,patents,False
Argentina,Banking and Finance,2016,0,,False,patents,False
Argentina,Banking and Finance,2017,0,0.0,True,patents,False
Argentina,Banking and Finance,2018,0,0.0,True,patents,False
Argentina,Banking and Finance,2019,0,0.0,False,patents,False
Argentina,Banking and Finance,2020,0,0.0,False,patents,False
Argentina,Banking and Finance,2021,0,,False,patents,False
Argentina,Banking and Finance,2022,2,0.0,False,patents,False
Argentina,Business,2016,0,,False,patents,False
Argentina,Business,2017,1,1.0,True,patents,False
Argentina,Business,2018,3,3.0,True,patents,False
Argentina,Business,2019,1,1.0,False,patents,False
Argentina,Business,2020,2,2.0,False,patents,False
Argentina,Business,2021,2,,False,patents,False
Argentina,Business,2022,1,0.0,False,patents,False
Argentina,Energy Management,2016,0,,False,patents,False
Argentina,Energy Management,2017,1,1.0,True,patents,False
Argentina,Energy Management,2018,0,0.0,True,patents,False
Argentina,Energy Management,2019,0,0.0,False,patents,False
Argentina,Energy Management,2020,0,0.0,False,patents,False
Argentina,Energy Management,2021,0,,False,patents,False
Argentina,Energy Management,2022,1,0.0,False,patents,False
Argentina,Industry and Manufacturing,2016,0,,False,patents,False
Argentina,Industry and Manufacturing,2017,0,0.0,True,patents,False
Argentina,Industry and Manufacturing,2018,1,1.0,True,patents,False
Argentina,Industry and Manufacturing,2019,0,0.0,False,patents,False
Argentina,Industry and Manufacturing,2020,0,0.0,False,patents,False
