country,avg_annual_articles,avg_cit_per_article,total_patent_apps,patent_field_diversity,total_estimated_investment,has_publications,has_citations,has_patents,has_investment
Afghanistan,35.666666666666664,22.948984732232816,,,,True,True,False,False
Albania,46.0,8.331404481404482,,,19.0,True,True,False,True
Algeria,899.6666666666666,10.347970791558723,,,0.0,True,True,False,True
Andorra,1.0,1.0,,,,True,True,False,False
Angola,16.666666666666668,21.685714285714287,,,,True,True,False,False
Antigua and Barbuda,2.0,40.5,,,,True,True,False,False
Argentina,277.6666666666667,11.463567773633109,27.0,10.0,1305.0,True,True,True,True
Armenia,62.333333333333336,5.01598878443015,,,27.0,True,True,False,True
Australia,6919.333333333333,28.29076560306454,2598.0,11.0,9286.0,True,True,True,True
Austria,1891.3333333333333,18.12796735453004,57.0,10.0,1726.0,True,True,True,True
Azerbaijan,101.0,5.250029757703093,1.0,1.0,0.0,True,True,True,True
Bahamas,2.6666666666666665,9.111111111111112,,,,True,True,False,False
Bahrain,156.33333333333334,12.400104134124753,,,190.0,True,True,False,True
Bangladesh,2146.6666666666665,17.470393004611875,,,28.0,True,True,False,True
Barbados,5.0,10.885714285714286,,,18.0,True,True,False,True
Belarus,103.33333333333333,5.783202761273024,,,10.0,True,True,False,True
Belgium,1902.6666666666667,18.436538398809773,20.0,10.0,4369.0,True,True,True,True
Belize,3.0,10.0,,,30.0,True,True,False,True
Benin,24.666666666666668,10.59375,,,,True,True,False,False
Bhutan,10.333333333333334,21.882154882154882,,,,True,True,False,False
Bolivia,10.666666666666666,16.583333333333332,,,,True,True,False,False
Bosnia and Herzegovina,127.66666666666667,7.819078955897644,,,0.0,True,True,False,True
Botswana,43.0,18.990730751249686,,,3.0,True,True,False,True
Brazil,3594.0,9.887530240014351,727.0,11.0,6087.0,True,True,True,True
Brunei Darussalam,91.33333333333333,17.981135774686308,,,,True,True,False,False
Bulgaria,383.6666666666667,8.434969332773774,23.0,,77.0,True,True,True,True
Burkina Faso,17.333333333333332,5.145238095238096,,,0.0,True,True,False,True
