country,field,num_patent_applications,num_patent_granted
Argentina,All,48,24
Argentina,Agricultural,18,11
Australia,Life_Sciences,1627,973
Australia,Ontology_Engineering,86,68
Australia,Telecommunications,794,601
Australia,Agricultural,227,171
Australia,Industrial_and_Manufacturing,276,204
Australia,Business,622,416
Australia,Machine_Learning,3523,2479
Australia,Fuzzy_Logic,93,86
Australia,Security__eg_cybersecurity,370,283
Australia,Probabilistic_Reasoning,270,190
Australia,Physical_Sciences_and_Engineering,300,219
Australia,Energy_Management,161,127
Australia,Speech_Processing,131,102
Australia,Logic_Programming,358,274
Australia,Knowledge_Representation,186,141
Australia,Control,482,374
Australia,Computer_Vision,1123,831
Australia,Transportation,232,197
Australia,Measuring_and_Testing,730,506
Australia,Analytics_and_Algorithms,786,488
Australia,Planning_and_Scheduling,457,301
Australia,Generic_and_Unspecified,932,611
Australia,Banking_and_Finance,263,183
Australia,All,4572,3212
Australia,Personal_Devices_and_Computing,1650,1273
Austria,Energy_Management,23,17
Austria,Machine_Learning,71,54
Austria,Transportation,28,21
Austria,All,82,62
Austria,Control,41,33
Belgium,Machine_Learning,28,26
Brazil,Machine_Learning,644,467
Brazil,Logic_Programming,84,58
Brazil,All,855,586
Brazil,Physical_Sciences_and_Engineering,86,55
Brazil,Generic_and_Unspecified,186,111
Brazil,Planning_and_Scheduling,93,61
Brazil,Measuring_and_Testing,212,156
Brazil,Personal_Devices_and_Computing,290,219
Brazil,Control,149,119
Brazil,Transportation,102,89
Brazil,Agricultural,95,65
Brazil,Industrial_and_Manufacturing,68,53
Brazil,Speech_Processing,30,20
Brazil,Banking_and_Finance,34,25
Brazil,Computer_Vision,211,169
Brazil,Knowledge_Representation,35,22
Brazil,Analytics_and_Algorithms,119,81
Brazil,Security__eg_cybersecurity,33,26
Brazil,Business,113,73
Brazil,Telecommunications,151,104
Brazil,Energy_Management,27,17
Brazil,Life_Sciences,252,171
Brazil,Probabilistic_Reasoning,50,36
Bulgaria,All,34,30
Canada,Security__eg_cybersecurity,289,183
Canada,Knowledge_Representation,223,139
Canada,Probabilistic_Reasoning,297,184
Canada,Telecommunications,739,521
Canada,Transportation,307,247
Canada,All,4303,2614
Canada,Industrial_and_Manufacturing,286,204
Canada,Machine_Learning,3285,2061
Canada,Ontology_Engineering,89,52
Canada,Business,716,394
Canada,Logic_Programming,468,320
Canada,Planning_and_Scheduling,524,294
Canada,Speech_Processing,123,71
Canada,Personal_Devices_and_Computing,1682,1160
Canada,Analytics_and_Algorithms,729,455
Canada,Life_Sciences,1464,846
Canada,Banking_and_Finance,290,166
Canada,Generic_and_Unspecified,918,503
Canada,Energy_Management,127,83
Canada,Fuzzy_Logic,44,29
Canada,Computer_Vision,986,720
Canada,Physical_Sciences_and_Engineering,346,228
Canada,Measuring_and_Testing,711,484
Canada,Agricultural,177,114
Canada,Control,479,353
China (mainland),Control,17733,9940
China (mainland),Probabilistic_Reasoning,28326,14147
China (mainland),Agricultural,7123,3326
China (mainland),Speech_Processing,14746,7207
China (mainland),All,504144,236670
China (mainland),Ontology_Engineering,33293,15959
China (mainland),Generic_and_Unspecified,94677,48281
China (mainland),Logic_Programming,17175,7177
China (mainland),Machine_Learning,397475,188715
China (mainland),Energy_Management,30723,12690
China (mainland),Business,56243,21915
China (mainland),Personal_Devices_and_Computing,233031,115236
China (mainland),Knowledge_Representation,8765,3469
China (mainland),Planning_and_Scheduling,45256,17991
China (mainland),Analytics_and_Algorithms,37696,17775
China (mainland),Physical_Sciences_and_Engineering,14820,7129
China (mainland),Computer_Vision,85566,45046
China (mainland),Security__eg_cybersecurity,17038,7149
China (mainland),Transportation,37773,21423
China (mainland),Industrial_and_Manufacturing,30381,15159
China (mainland),Fuzzy_Logic,8320,3825
China (mainland),Telecommunications,42135,21766
China (mainland),Banking_and_Finance,12042,3603
China (mainland),Measuring_and_Testing,37154,18287
China (mainland),Life_Sciences,34640,15187
Colombia,All,18,2
Denmark,Life_Sciences,56,49
Denmark,Measuring_and_Testing,30,26
Denmark,Computer_Vision,36,34
Denmark,Transportation,20,20
Denmark,Machine_Learning,117,107
Denmark,Analytics_and_Algorithms,34,30
Denmark,All,149,136
Denmark,Control,33,32
Denmark,Personal_Devices_and_Computing,45,45
Denmark,Telecommunications,45,43
Denmark,Generic_and_Unspecified,31,29
Eurasian Patent Organization,Machine_Learning,19,11
European Patent Organization,All,6606,2864
European Patent Organization,Probabilistic_Reasoning,372,199
European Patent Organization,Industrial_and_Manufacturing,364,192
European Patent Organization,Control,963,564
European Patent Organization,Fuzzy_Logic,31,9
European Patent Organization,Logic_Programming,545,269
European Patent Organization,Personal_Devices_and_Computing,2247,1248
European Patent Organization,Energy_Management,218,110
European Patent Organization,Agricultural,72,34
European Patent Organization,Business,428,184
European Patent Organization,Physical_Sciences_and_Engineering,185,88
European Patent Organization,Telecommunications,1279,633
European Patent Organization,Planning_and_Scheduling,346,148
European Patent Organization,Analytics_and_Algorithms,1080,455
European Patent Organization,Generic_and_Unspecified,850,403
European Patent Organization,Speech_Processing,207,108
European Patent Organization,Security__eg_cybersecurity,292,135
European Patent Organization,Measuring_and_Testing,929,517
European Patent Organization,Machine_Learning,5593,2382
European Patent Organization,Knowledge_Representation,320,139
European Patent Organization,Computer_Vision,1605,897
European Patent Organization,Banking_and_Finance,136,62
European Patent Organization,Ontology_Engineering,210,89
European Patent Organization,Transportation,434,287
European Patent Organization,Life_Sciences,1550,612
Finland,All,231,142
Finland,Planning_and_Scheduling,18,9
Finland,Machine_Learning,178,113
Finland,Life_Sciences,44,29
Finland,Personal_Devices_and_Computing,92,54
Finland,Analytics_and_Algorithms,68,48
Finland,Computer_Vision,49,29
Finland,Measuring_and_Testing,41,26
Finland,Telecommunications,104,67
Finland,Logic_Programming,23,11
Finland,Industrial_and_Manufacturing,24,17
Finland,Generic_and_Unspecified,44,25
France,All,1474,1014
France,Personal_Devices_and_Computing,462,332
France,Control,225,166
France,Physical_Sciences_and_Engineering,53,44
France,Telecommunications,242,167
France,Banking_and_Finance,55,38
France,Planning_and_Scheduling,62,37
France,Analytics_and_Algorithms,196,122
France,Security__eg_cybersecurity,95,73
France,Industrial_and_Manufacturing,55,39
France,Life_Sciences,207,137
France,Generic_and_Unspecified,446,293
France,Probabilistic_Reasoning,71,56
France,Machine_Learning,1032,738
France,Energy_Management,71,57
France,Measuring_and_Testing,248,184
France,Computer_Vision,273,224
France,Business,93,52
France,Transportation,247,175
France,Logic_Programming,68,49
Germany,Transportation,1344,828
Germany,Business,282,157
Germany,Speech_Processing,129,75
Germany,All,5675,2787
Germany,Measuring_and_Testing,1162,610
Germany,Planning_and_Scheduling,255,140
Germany,Security__eg_cybersecurity,206,117
Germany,Generic_and_Unspecified,1003,526
Germany,Personal_Devices_and_Computing,1675,885
Germany,Energy_Management,361,127
Germany,Ontology_Engineering,89,48
Germany,Probabilistic_Reasoning,220,133
Germany,Computer_Vision,1124,696
Germany,Knowledge_Representation,137,84
Germany,Physical_Sciences_and_Engineering,247,112
Germany,Telecommunications,723,423
Germany,Control,1631,952
Germany,Machine_Learning,4673,2246
Germany,Analytics_and_Algorithms,762,335
Germany,Industrial_and_Manufacturing,505,305
Germany,Agricultural,66,34
Germany,Life_Sciences,621,365
Germany,Logic_Programming,275,178
Germany,Banking_and_Finance,157,95
Greece,Personal_Devices_and_Computing,31,25
Greece,Computer_Vision,18,15
Greece,All,63,50
Greece,Machine_Learning,52,44
Hungary,Life_Sciences,22,17
Hungary,Personal_Devices_and_Computing,24,17
Hungary,Machine_Learning,49,38
Hungary,All,64,51
India,Banking_and_Finance,33,19
India,Control,81,72
India,Measuring_and_Testing,48,40
India,Logic_Programming,224,163
India,Knowledge_Representation,135,99
India,All,835,590
India,Generic_and_Unspecified,152,91
India,Personal_Devices_and_Computing,490,385
India,Planning_and_Scheduling,130,73
India,Security__eg_cybersecurity,46,33
India,Machine_Learning,532,404
India,Computer_Vision,224,188
India,Life_Sciences,117,84
India,Analytics_and_Algorithms,83,67
India,Ontology_Engineering,57,43
India,Business,179,102
India,Telecommunications,138,106
India,Probabilistic_Reasoning,101,80
International Bureau of WIPO,All,68,38
International Bureau of WIPO,Computer_Vision,18,16
International Bureau of WIPO,Personal_Devices_and_Computing,23,14
International Bureau of WIPO,Machine_Learning,48,31
Israel,Transportation,24,13
Israel,Personal_Devices_and_Computing,79,47
Israel,All,165,74
Israel,Machine_Learning,132,55
Israel,Telecommunications,55,33
Israel,Computer_Vision,44,26
Israel,Life_Sciences,32,6
Israel,Measuring_and_Testing,36,17
