country,field,year,num_patent_applications,complete
Singapore,Agriculture,2015,1,True
Australia,Agriculture,2018,39,True
Colombia,Agriculture,2024,0,False
Romania,Agriculture,2017,0,True
France,Agriculture,2020,3,True
Philippines,Agriculture,2020,2,True
Malaysia,Agriculture,2017,1,True
South Africa,Agriculture,2017,0,True
World Intellectual Property Organization (WIPO),Agriculture,2020,17,True
United States,Agriculture,2023,7,False
Hungary,Agriculture,2018,1,True
Mexico,Agriculture,2018,7,True
Austria,Agriculture,2019,0,True
Italy,All,2022,63,False
United States,All,2015,3966,True
United States,All,2016,6222,True
United States,All,2018,13607,True
South Korea,All,2020,8274,True
Denmark,All,2016,15,True
Greece,All,2022,12,False
European Patent Organization,All,2019,953,True
Switzerland,All,2019,2,True
Uruguay,Banking and Finance,2022,0,False
South Korea,Banking and Finance,2016,36,True
Belgium,Banking and Finance,2020,0,True
United States,Banking and Finance,2024,0,False
Argentina,Banking and Finance,2017,0,True
Netherlands,Banking and Finance,2015,0,True
Hungary,Banking and Finance,2017,0,True
Malaysia,Banking and Finance,2017,1,True
Czechia,Banking and Finance,2017,0,True
Ukraine,Business,2019,0,True
San Marino,Business,2018,0,True
China (mainland),Business,2024,5142,False
Singapore,Business,2019,23,True
Taiwan,Business,2017,16,True
Czechia,Business,2018,0,True
United States,Energy Management,2019,261,True
Russia,Energy Management,2017,0,True
Sri Lanka,Energy Management,2016,0,True
Sweden,Energy Management,2024,0,False
Greece,Energy Management,2020,1,True
Philippines,Energy Management,2015,0,True
Canada,Energy Management,2019,17,True
Romania,Industry and Manufacturing,2015,0,True
Italy,Industry and Manufacturing,2019,5,True
Colombia,Industry and Manufacturing,2024,0,False
San Marino,Industry and Manufacturing,2015,0,True
Spain,Industry and Manufacturing,2021,12,False
Russia,Industry and Manufacturing,2017,5,True
Singapore,Industry and Manufacturing,2018,10,True
Tunisia,Industry and Manufacturing,2021,0,False
Singapore,Life Sciences,2018,62,True
Norway,Life Sciences,2021,1,False
India,Life Sciences,2022,0,False
Slovakia,Life Sciences,2020,0,True
Philippines,Life Sciences,2016,0,True
Tunisia,Life Sciences,2021,0,False
Czechia,Life Sciences,2020,1,True
Czechia,Life Sciences,2022,0,False
United States,Life Sciences,2020,2124,True
Malaysia,Personal Devices and Computing,2021,1,False
United Kingdom,Personal Devices and Computing,2019,201,True
Taiwan,Personal Devices and Computing,2022,74,False
Chile,Personal Devices and Computing,2018,0,True
Spain,Personal Devices and Computing,2022,17,False
Belgium,Personal Devices and Computing,2016,1,True
Israel,Personal Devices and Computing,2023,3,False
Uruguay,Personal Devices and Computing,2020,1,True
Ukraine,Personal Devices and Computing,2018,1,True
Peru,Physical Sciences and Engineering,2017,1,True
Lithuania,Physical Sciences and Engineering,2022,0,False
Mexico,Physical Sciences and Engineering,2019,14,True
United States,Physical Sciences and Engineering,2016,162,True
Morocco,Physical Sciences and Engineering,2017,0,True
Serbia,Physical Sciences and Engineering,2021,0,False
Argentina,Physical Sciences and Engineering,2020,2,True
Malaysia,Physical Sciences and Engineering,2021,1,False
Greece,Physical Sciences and Engineering,2021,2,False
Germany,Physical Sciences and Engineering,2019,41,True
Russia,Security,2015,4,True
Finland,Security,2017,1,True
Finland,Security,2019,2,True
Belgium,Security,2020,0,True
Mexico,Security,2017,4,True
Mexico,Security,2018,4,True
Brazil,Security,2015,1,True
Chile,Telecommunications,2023,1,False
Australia,Telecommunications,2018,88,True
Romania,Telecommunications,2016,0,True
Colombia,Telecommunications,2019,0,True
United States,Telecommunications,2015,893,True
United States,Telecommunications,2017,2466,True
Switzerland,Telecommunications,2021,1,False
Mexico,Transportation,2023,0,False
Colombia,Transportation,2019,0,True
Latvia,Transportation,2020,0,True
World Intellectual Property Organization (WIPO),Transportation,2021,36,False
Estonia,Transportation,2022,0,False
Peru,Transportation,2016,0,True
Belgium,Transportation,2018,1,True
Australia,Transportation,2022,13,False
Malaysia,Transportation,2018,2,True
Canada,Agriculture,2021,31,False
Portugal,Agriculture,2016,1,True
Switzerland,Agriculture,2015,0,True
Italy,Agriculture,2020,3,True
Luxembourg,Agriculture,2024,0,False
Slovenia,Agriculture,2015,0,True
Philippines,All,2015,8,True
Bulgaria,All,2021,4,False
Thailand,All,2017,1,True
South Africa,All,2018,6,True
China (mainland),All,2024,40219,False
Peru,All,2023,1,False
Malaysia,All,2017,28,True
Sweden,All,2015,6,True
Germany,All,2023,153,False
Japan,Banking and Finance,2021,58,False
Australia,Banking and Finance,2016,10,True
Canada,Banking and Finance,2021,61,False
Jordan,Banking and Finance,2021,0,False
Austria,Banking and Finance,2022,1,False
Bulgaria,Banking and Finance,2020,0,True
Slovakia,Banking and Finance,2015,0,True
Romania,Banking and Finance,2016,0,True
Croatia,Banking and Finance,2022,0,False
Switzerland,Banking and Finance,2022,1,False
Poland,Banking and Finance,2015,2,True
India,Banking and Finance,2019,0,True
Ireland,Business,2022,0,False
Argentina,Business,2016,0,True
Argentina,Business,2017,1,True
South Africa,Business,2016,2,True
Spain,Business,2015,4,True
European Patent Organization,Business,2023,3,False
Singapore,Business,2018,26,True
United States,Business,2018,1832,True
Portugal,Business,2017,0,True
Germany,Business,2016,23,True
Canada,Business,2017,64,True
Canada,Business,2021,130,False
Czechia,Business,2020,1,True
Brazil,Business,2015,7,True
Brazil,Business,2016,9,True
Brazil,Energy Management,2019,8,True
Ireland,Energy Management,2016,0,True
Luxembourg,Energy Management,2023,9,False
Finland,Energy Management,2020,1,True
Israel,Energy Management,2020,0,True
Switzerland,Energy Management,2015,0,True
Mexico,Energy Management,2017,2,True
Latvia,Industry and Manufacturing,2020,0,True
International Bureau of WIPO,Industry and Manufacturing,2015,0,True
Denmark,Industry and Manufacturing,2022,1,False
South Korea,Industry and Manufacturing,2022,672,False
United States,Industry and Manufacturing,2022,228,False
India,Industry and Manufacturing,2019,0,True
Spain,Industry and Manufacturing,2017,5,True
Moldova,Industry and Manufacturing,2021,0,False
Austria,Industry and Manufacturing,2023,0,False
Croatia,Life Sciences,2022,0,False
Philippines,Life Sciences,2018,1,True
Eurasian Patent Organization,Life Sciences,2017,2,True
Italy,Life Sciences,2021,16,False
Cuba,Life Sciences,2020,0,True
Portugal,Life Sciences,2018,3,True
Morocco,Life Sciences,2019,1,True
Chile,Life Sciences,2019,0,True
Japan,Life Sciences,2022,610,False
Ireland,Personal Devices and Computing,2022,0,False
Colombia,Personal Devices and Computing,2022,1,False
Taiwan,Personal Devices and Computing,2020,166,True
European Patent Organization,Personal Devices and Computing,2016,62,True
Chile,Personal Devices and Computing,2023,1,False
France,Personal Devices and Computing,2020,88,True
Bulgaria,Personal Devices and Computing,2019,0,True
Israel,Personal Devices and Computing,2020,12,True
Uruguay,Personal Devices and Computing,2022,0,False
Netherlands,Personal Devices and Computing,2022,14,False
Netherlands,Personal Devices and Computing,2024,1,False
Czechia,Personal Devices and Computing,2021,0,False
Switzerland,Physical Sciences and Engineering,2017,0,True
Poland,Physical Sciences and Engineering,2023,0,False
Malaysia,Physical Sciences and Engineering,2017,3,True
Iran,Physical Sciences and Engineering,2018,0,True
Sweden,Physical Sciences and Engineering,2024,0,False
South Africa,Physical Sciences and Engineering,2022,0,False
Croatia,Physical Sciences and Engineering,2022,0,False
Bulgaria,Physical Sciences and Engineering,2018,0,True
Ukraine,Security,2018,0,True
Philippines,Security,2020,0,True
Mexico,Security,2020,4,True
Brazil,Security,2016,6,True
Japan,Security,2019,105,True
Denmark,Security,2021,0,False
United Kingdom,Security,2022,30,False
European Patent Organization,Security,2016,9,True
European Patent Organization,Security,2024,1,False
Slovakia,Security,2015,0,True
Greece,Security,2023,1,False
Uruguay,Security,2017,0,True
India,Telecommunications,2022,1,False
Saudi Arabia,Telecommunications,2021,0,False
Lithuania,Telecommunications,2022,1,False
Taiwan,Telecommunications,2022,40,False
Taiwan,Telecommunications,2023,4,False
Norway,Telecommunications,2022,1,False
Turkey,Telecommunications,2022,4,False
New Zealand,Telecommunications,2015,3,True
Canada,Telecommunications,2016,62,True
Denmark,Telecommunications,2019,7,True
Slovakia,Transportation,2015,0,True
Slovakia,Transportation,2023,0,False
Slovakia,Transportation,2024,1,False
Luxembourg,Transportation,2017,0,True
Bulgaria,Transportation,2020,0,True
Morocco,Transportation,2018,0,True
China (mainland),Transportation,2022,7879,False
Thailand,Transportation,2017,0,True
Switzerland,Transportation,2015,0,True
Morocco,Agriculture,2022,2,False
Serbia,Agriculture,2022,0,False
Chile,Agriculture,2018,0,True
New Zealand,Agriculture,2016,1,True
Germany,Agriculture,2016,1,True
Netherlands,Agriculture,2017,0,True
Slovenia,All,2018,8,True
Sweden,All,2023,1,False
Czechia,All,2021,2,False
Hungary,All,2023,1,False
Philippines,Banking and Finance,2022,0,False
Greece,Banking and Finance,2018,0,True
Belgium,Banking and Finance,2016,0,True
Netherlands,Banking and Finance,2020,1,True
Chile,Banking and Finance,2023,0,False
China (mainland),Banking and Finance,2017,346,True
Denmark,Banking and Finance,2018,1,True
Eurasian Patent Organization,Banking and Finance,2018,0,True
Lithuania,Banking and Finance,2015,1,True
New Zealand,Banking and Finance,2021,0,False
Poland,Business,2020,2,True
Luxembourg,Business,2023,16,False
France,Business,2017,9,True
Romania,Business,2019,0,True
Iran,Business,2018,0,True
Mexico,Business,2020,21,True
Mexico,Business,2022,0,False
Germany,Business,2020,44,True
Austria,Energy Management,2016,2,True
United States,Energy Management,2018,262,True
Azerbaijan,Energy Management,2018,0,True
Lithuania,Energy Management,2018,1,True
India,Energy Management,2015,2,True
Greece,Energy Management,2023,0,False
Italy,Energy Management,2019,5,True
Italy,Energy Management,2022,2,False
Serbia,Energy Management,2021,0,False
Serbia,Energy Management,2023,0,False
European Patent Organization,Energy Management,2023,3,False
European Patent Organization,Energy Management,2024,0,False
Peru,Energy Management,2023,0,False
United Kingdom,Energy Management,2016,3,True
Portugal,Energy Management,2017,0,True
Slovakia,Industry and Manufacturing,2021,2,False
Colombia,Industry and Manufacturing,2023,0,False
