country,field,year,num_patent_granted,complete
New Zealand,Agriculture,2018,1,True
Bulgaria,Agriculture,2022,0,False
Australia,Agriculture,2018,30,True
Hungary,Agriculture,2020,0,False
Ukraine,All,2017,1,True
Ukraine,All,2023,7,False
Mexico,All,2022,2,False
Bulgaria,All,2018,4,True
Denmark,All,2017,24,True
Denmark,All,2020,18,False
Russia,All,2021,55,False
Morocco,All,2015,2,True
Hungary,All,2017,6,True
Taiwan,All,2024,2,False
Philippines,All,2015,5,True
China (mainland),Banking and Finance,2021,931,False
Portugal,Banking and Finance,2021,0,False
European Patent Organization,Banking and Finance,2018,13,True
Germany,Banking and Finance,2021,16,False
South Korea,Banking and Finance,2016,25,True
Turkey,Banking and Finance,2016,1,True
France,Banking and Finance,2015,1,True
Canada,Banking and Finance,2018,37,True
Finland,Banking and Finance,2022,0,False
Poland,Banking and Finance,2015,1,True
Poland,Banking and Finance,2021,1,False
Italy,Business,2021,4,False
Austria,Business,2020,2,False
Turkey,Business,2018,2,True
European Patent Organization,Business,2015,8,True
Germany,Business,2017,20,True
New Zealand,Business,2017,2,True
Switzerland,Business,2016,1,True
France,Business,2018,13,True
France,Business,2019,11,False
Mexico,Business,2022,0,False
Malaysia,Business,2019,3,False
Peru,Energy Management,2019,0,False
Finland,Energy Management,2021,2,False
World Intellectual Property Organization (WIPO),Energy Management,2020,3,False
Iran,Energy Management,2018,0,True
Japan,Energy Management,2021,109,False
Austria,Energy Management,2020,1,False
France,Energy Management,2015,3,True
Morocco,Energy Management,2020,0,False
Romania,Industry and Manufacturing,2018,0,True
Spain,Industry and Manufacturing,2016,5,True
Italy,Industry and Manufacturing,2020,3,False
Hungary,Industry and Manufacturing,2017,0,True
European Patent Organization,Industry and Manufacturing,2017,16,True
Morocco,Industry and Manufacturing,2015,0,True
Morocco,Industry and Manufacturing,2017,0,True
China (mainland),Industry and Manufacturing,2020,2072,False
Austria,Industry and Manufacturing,2017,0,True
Austria,Industry and Manufacturing,2022,0,False
Netherlands,Life Sciences,2015,2,True
Australia,Life Sciences,2018,132,True
European Patent Organization,Life Sciences,2015,10,True
Philippines,Life Sciences,2018,1,True
Japan,Life Sciences,2022,103,False
Romania,Life Sciences,2019,0,False
Austria,Life Sciences,2016,3,True
Serbia,Personal Devices and Computing,2017,0,True
Peru,Personal Devices and Computing,2017,1,True
Israel,Personal Devices and Computing,2021,2,False
