country,field,num_articles,num_citations
Africa,AI Safety,766,6430
Finland,AI Safety,275,12715
Estonia,AI Safety,53,1108
Ukraine,AI Safety,37,108
Liechtenstein,AI Safety,18,1015
Saudi Arabia,AI Safety,416,8676
Brazil,AI Safety,534,10720
Malaysia,AI Safety,272,2603
Russia,AI Safety,179,2658
China (mainland),AI Safety,9655,306188
Pakistan,AI Safety,213,4396
Greece,AI Safety,310,6089
Argentina,AI Safety,49,1746
ASEAN,AI Safety,1883,74104
India,AI Safety,3324,37913
Chile,AI Safety,81,998
Nigeria,AI Safety,85,838
Indonesia,AI Safety,170,926
Austria,AI Safety,506,12343
Czechia,AI Safety,153,3252
Bulgaria,AI Safety,28,223
United Kingdom,AI Safety,3966,194558
South and Central America,AI Safety,777,15491
Oceania,AI Safety,1999,96571
Australia,AI Safety,1887,94132
Japan,AI Safety,1403,38701
Philippines,AI Safety,73,395
NATO,AI Safety,32067,1696104
Malta,AI Safety,37,998
Asia,AI Safety,19251,544147
Denmark,AI Safety,391,11527
OECD,AI Safety,36916,1836259
Mexico,AI Safety,129,4360
Oman,AI Safety,31,84
Europe,AI Safety,16033,613096
South Korea,AI Safety,1319,69017
Slovenia,AI Safety,48,2062
Singapore,AI Safety,1148,68148
Iraq,AI Safety,85,410
Quad,AI Safety,24068,1404903
Romania,AI Safety,125,3271
EU,AI Safety,11775,409867
Turkey,AI Safety,319,7004
Canada,AI Safety,2233,95329
Taiwan,AI Safety,355,10409
Luxembourg,AI Safety,94,1713
Italy,AI Safety,1579,42484
Switzerland,AI Safety,880,51824
France,AI Safety,1805,105247
Sweden,AI Safety,703,18971
New Zealand,AI Safety,136,3550
Bangladesh,AI Safety,189,2144
Norway,AI Safety,311,7252
Belgium,AI Safety,452,15522
North America and the Caribbean,AI Safety,20215,1349477
Kazakhstan,AI Safety,30,194
Portugal,AI Safety,285,3981
Qatar,AI Safety,103,4707
Tunisia,AI Safety,96,541
Netherlands,AI Safety,1172,36837
Spain,AI Safety,910,30511
Vietnam,AI Safety,154,1890
Sri Lanka,AI Safety,67,240
Poland,AI Safety,215,6142
Iran,AI Safety,187,2031
Jordan,AI Safety,113,1267
Algeria,AI Safety,86,677
Global Partnership on Artificial Intelligence,AI Safety,38997,1852954
Israel,AI Safety,605,43219
Morocco,AI Safety,141,702
United Arab Emirates,AI Safety,349,9928
South Africa,AI Safety,126,1636
Lebanon,AI Safety,50,1056
United States,AI Safety,18386,1293867
Germany,AI Safety,4017,155472
Serbia,AI Safety,47,627
Ireland,AI Safety,330,8857
Egypt,AI Safety,148,1695
Brunei Darussalam,AI Safety,16,75
Five Eyes,AI Safety,24762,1532026
Fiji,All,318,5943
Saint Lucia,All,126,991
Papua New Guinea,All,96,1234
Italy,All,66946,1391220
Israel,All,13534,655661
Slovenia,All,3395,77926
Uganda,All,528,7314
Uruguay,All,574,6863
