country,field,year,num_articles,complete
New Zealand,AI Safety,2020,13,True
Lebanon,AI Safety,2021,1,True
Finland,AI Safety,2017,14,True
Global Partnership on Artificial Intelligence,AI Safety,2018,2304,True
Brazil,AI Safety,2022,67,True
OECD,AI Safety,2023,4992,True
NATO,AI Safety,2020,3964,True
Bangladesh,AI Safety,2022,11,True
Singapore,AI Safety,2022,101,True
Russia,AI Safety,2024,35,False
Denmark,AI Safety,2019,32,True
Mexico,AI Safety,2018,7,True
Mexico,AI Safety,2019,7,True
Yemen,AI Safety,2021,1,True
Pakistan,AI Safety,2020,15,True
Venezuela,AI Safety,2017,1,True
Rwanda,All,2024,92,False
Somalia,All,2021,7,True
Finland,All,2015,586,True
Ethiopia,All,2015,26,True
Bolivia,All,2017,3,True
Monaco,All,2022,1,True
Monaco,All,2024,1,False
Benin,All,2020,19,True
Benin,All,2024,33,False
Benin,All,2025,4,False
Angola,All,2020,3,True
South and Central America,All,2016,3146,True
Thailand,All,2019,891,True
Kenya,All,2023,219,True
EU,All,2025,25623,False
Colombia,All,2024,681,False
Paraguay,All,2022,21,True
Barbados,All,2019,4,True
Sweden,All,2020,2100,True
Mauritania,All,2024,7,False
Czechia,All,2025,437,False
Croatia,All,2021,433,True
Nepal,All,2020,76,True
Netherlands,All,2019,2991,True
Serbia,All,2017,257,True
Latvia,All,2017,72,True
Global Partnership on Artificial Intelligence,All,2023,182188,True
New Zealand,All,2020,757,True
Uruguay,All,2018,37,True
Madagascar,All,2021,16,True
Bahamas,All,2019,1,True
Mozambique,All,2022,6,True
South Africa,All,2023,1113,True
Botswana,All,2019,13,True
Turkey,All,2024,4891,False
Chad,All,2022,1,True
France,All,2017,5409,True
Guinea,All,2021,1,True
United Arab Emirates,All,2018,512,True
Cuba,All,2019,105,True
Austria,All,2021,1802,True
Jordan,All,2025,843,False
Cameroon,All,2017,21,True
Tanzania,Computer Vision,2023,22,True
Singapore,Computer Vision,2016,533,True
Five Eyes,Computer Vision,2020,16812,True
Slovakia,Computer Vision,2017,52,True
Iraq,Computer Vision,2015,84,True
Egypt,Computer Vision,2017,252,True
South Sudan,Computer Vision,2025,1,False
Europe,Computer Vision,2024,17840,False
Thailand,Computer Vision,2019,319,True
Mozambique,Computer Vision,2019,4,True
Mozambique,Computer Vision,2021,3,True
Brazil,Computer Vision,2015,526,True
Hungary,Computer Vision,2016,75,True
Kenya,Computer Vision,2025,27,False
NATO,Computer Vision,2018,17760,True
Sri Lanka,Computer Vision,2021,159,True
Nigeria,Computer Vision,2025,65,False
India,Computer Vision,2017,5343,True
Yemen,Computer Vision,2019,25,True
El Salvador,Computer Vision,2025,1,False
Spain,Computer Vision,2022,1229,True
Austria,Computer Vision,2024,348,False
Montenegro,Computer Vision,2020,6,True
Montenegro,Computer Vision,2025,12,False
Tajikistan,Computer Vision,2024,1,False
Kiribati,Computer Vision,2024,1,False
Turkey,Computer Vision,2016,497,True
Poland,Computer Vision,2015,377,True
United Kingdom,Computer Vision,2016,1793,True
Netherlands,Computer Vision,2015,350,True
Azerbaijan,Computer Vision,2015,4,True
Azerbaijan,Computer Vision,2020,3,True
Uganda,Computer Vision,2016,4,True
Laos,Computer Vision,2016,2,True
Morocco,Computer Vision,2016,224,True
Singapore,Large language models,2021,363,True
Bangladesh,Large language models,2025,107,False
Estonia,Large language models,2022,10,True
Qatar,Large language models,2017,6,True
Tunisia,Large language models,2020,5,True
United Arab Emirates,Large language models,2021,56,True
Croatia,Large language models,2023,14,True
Europe,Large language models,2019,1065,True
Indonesia,Large language models,2018,5,True
Indonesia,Large language models,2019,15,True
Denmark,Large language models,2017,7,True
Algeria,Large language models,2023,21,True
Sweden,Large language models,2021,84,True
Cameroon,Large language models,2021,1,True
Serbia,Large language models,2024,11,False
New Zealand,Large language models,2023,42,True
United Kingdom,Large language models,2023,1510,True
Netherlands,Large language models,2015,7,True
Uruguay,Large language models,2023,4,True
India,Large language models,2023,980,True
