country1,country2,field,year,num_articles,complete
China,Australia,AI safety,2025,74,False
China,Australia,AI safety,2021,61,True
China,Australia,AI safety,2023,85,True
China,Australia,AI safety,2020,52,True
China,Australia,AI safety,2022,49,True
China,Australia,AI safety,2024,130,False
China,Australia,AI safety,2019,33,True
China,Australia,AI safety,2018,28,True
Singapore,Australia,AI safety,2024,29,False
United States,Australia,AI safety,2025,25,False
United States,Australia,AI safety,2020,42,True
United States,Australia,AI safety,2024,49,False
United States,Australia,AI safety,2021,46,True
United States,Australia,AI safety,2023,41,True
United States,Australia,AI safety,2022,32,True
China,Canada,AI safety,2024,44,False
China,Canada,AI safety,2023,36,True
China,Canada,AI safety,2021,27,True
United States,Canada,AI safety,2020,67,True
United States,Canada,AI safety,2019,49,True
United States,Canada,AI safety,2018,37,True
United States,Canada,AI safety,2023,89,True
United States,Canada,AI safety,2025,40,False
United States,Canada,AI safety,2021,78,True
United States,Canada,AI safety,2024,69,False
United States,Canada,AI safety,2022,58,True
Australia,China,AI safety,2019,33,True
Australia,China,AI safety,2020,52,True
Australia,China,AI safety,2022,49,True
Australia,China,AI safety,2025,74,False
Australia,China,AI safety,2021,61,True
Australia,China,AI safety,2018,28,True
Australia,China,AI safety,2023,85,True
Australia,China,AI safety,2024,130,False
Canada,China,AI safety,2021,27,True
Canada,China,AI safety,2024,44,False
Canada,China,AI safety,2023,36,True
Germany,China,AI safety,2024,47,False
Japan,China,AI safety,2024,46,False
Singapore,China,AI safety,2025,87,False
Singapore,China,AI safety,2022,40,True
Singapore,China,AI safety,2021,48,True
Singapore,China,AI safety,2020,42,True
Singapore,China,AI safety,2023,78,True
Singapore,China,AI safety,2019,25,True
Singapore,China,AI safety,2024,137,False
United Kingdom,China,AI safety,2020,40,True
United Kingdom,China,AI safety,2023,80,True
United Kingdom,China,AI safety,2022,40,True
United Kingdom,China,AI safety,2024,96,False
United Kingdom,China,AI safety,2019,28,True
United Kingdom,China,AI safety,2021,42,True
United Kingdom,China,AI safety,2025,71,False
United States,China,AI safety,2025,156,False
United States,China,AI safety,2021,210,True
United States,China,AI safety,2019,135,True
United States,China,AI safety,2023,216,True
United States,China,AI safety,2022,166,True
United States,China,AI safety,2017,52,True
United States,China,AI safety,2020,200,True
United States,China,AI safety,2018,98,True
United States,China,AI safety,2024,307,False
United Kingdom,France,AI safety,2024,26,False
United Kingdom,France,AI safety,2023,26,True
United States,France,AI safety,2024,32,False
United States,France,AI safety,2023,25,True
United States,France,AI safety,2021,25,True
China,Germany,AI safety,2024,47,False
Italy,Germany,AI safety,2023,27,True
