country1,country2,field,year,num_articles,complete
Canada,Australia,Chip design and fabrication,2021,26,True
Canada,Australia,Chip design and fabrication,2020,37,True
Canada,Australia,Chip design and fabrication,2019,38,True
Canada,Australia,Chip design and fabrication,2018,25,True
Canada,Australia,Chip design and fabrication,2023,33,True
China,Australia,Chip design and fabrication,2025,143,False
China,Australia,Chip design and fabrication,2015,44,True
China,Australia,Chip design and fabrication,2023,156,True
China,Australia,Chip design and fabrication,2017,86,True
China,Australia,Chip design and fabrication,2020,178,True
China,Australia,Chip design and fabrication,2016,73,True
China,Australia,Chip design and fabrication,2024,198,False
China,Australia,Chip design and fabrication,2019,176,True
China,Australia,Chip design and fabrication,2022,188,True
China,Australia,Chip design and fabrication,2021,153,True
China,Australia,Chip design and fabrication,2018,132,True
Germany,Australia,Chip design and fabrication,2023,41,True
Germany,Australia,Chip design and fabrication,2016,25,True
Germany,Australia,Chip design and fabrication,2022,36,True
Germany,Australia,Chip design and fabrication,2019,26,True
Germany,Australia,Chip design and fabrication,2021,26,True
Germany,Australia,Chip design and fabrication,2018,28,True
Germany,Australia,Chip design and fabrication,2020,33,True
Germany,Australia,Chip design and fabrication,2024,31,False
India,Australia,Chip design and fabrication,2021,26,True
India,Australia,Chip design and fabrication,2023,27,True
India,Australia,Chip design and fabrication,2024,25,False
India,Australia,Chip design and fabrication,2022,30,True
Japan,Australia,Chip design and fabrication,2018,25,True
Japan,Australia,Chip design and fabrication,2019,28,True
Japan,Australia,Chip design and fabrication,2023,35,True
Japan,Australia,Chip design and fabrication,2020,40,True
Russia,Australia,Chip design and fabrication,2019,29,True
United Kingdom,Australia,Chip design and fabrication,2017,29,True
United Kingdom,Australia,Chip design and fabrication,2021,54,True
United Kingdom,Australia,Chip design and fabrication,2019,32,True
United Kingdom,Australia,Chip design and fabrication,2024,40,False
United Kingdom,Australia,Chip design and fabrication,2023,39,True
United Kingdom,Australia,Chip design and fabrication,2022,41,True
United Kingdom,Australia,Chip design and fabrication,2020,34,True
United Kingdom,Australia,Chip design and fabrication,2016,37,True
United Kingdom,Australia,Chip design and fabrication,2025,30,False
United Kingdom,Australia,Chip design and fabrication,2018,42,True
United States,Australia,Chip design and fabrication,2018,67,True
United States,Australia,Chip design and fabrication,2025,34,False
United States,Australia,Chip design and fabrication,2020,75,True
United States,Australia,Chip design and fabrication,2016,60,True
United States,Australia,Chip design and fabrication,2021,79,True
United States,Australia,Chip design and fabrication,2015,50,True
