country1,country2,field,year,num_articles,complete
China,Australia,Large language models,2024,415,False
China,Australia,Large language models,2020,102,True
China,Australia,Large language models,2021,169,True
China,Australia,Large language models,2022,242,True
China,Australia,Large language models,2025,203,False
China,Australia,Large language models,2019,48,True
China,Australia,Large language models,2023,363,True
Singapore,Australia,Large language models,2022,25,True
Singapore,Australia,Large language models,2023,46,True
Singapore,Australia,Large language models,2024,58,False
United Kingdom,Australia,Large language models,2024,52,False
United Kingdom,Australia,Large language models,2023,62,True
United Kingdom,Australia,Large language models,2022,28,True
United States,Australia,Large language models,2023,104,True
United States,Australia,Large language models,2025,68,False
United States,Australia,Large language models,2024,108,False
United States,Australia,Large language models,2022,56,True
United States,Australia,Large language models,2020,40,True
United States,Australia,Large language models,2021,67,True
Germany,Austria,Large language models,2024,26,False
United States,Austria,Large language models,2024,26,False
United States,Bangladesh,Large language models,2025,31,False
United States,Bangladesh,Large language models,2024,35,False
China,Canada,Large language models,2022,84,True
China,Canada,Large language models,2021,90,True
China,Canada,Large language models,2025,60,False
China,Canada,Large language models,2020,51,True
China,Canada,Large language models,2024,149,False
China,Canada,Large language models,2019,26,True
China,Canada,Large language models,2023,135,True
Germany,Canada,Large language models,2023,27,True
United Kingdom,Canada,Large language models,2020,25,True
United Kingdom,Canada,Large language models,2022,28,True
United Kingdom,Canada,Large language models,2024,38,False
United Kingdom,Canada,Large language models,2021,29,True
United Kingdom,Canada,Large language models,2023,45,True
United States,Canada,Large language models,2023,150,True
United States,Canada,Large language models,2025,103,False
United States,Canada,Large language models,2022,93,True
United States,Canada,Large language models,2019,50,True
United States,Canada,Large language models,2020,85,True
United States,Canada,Large language models,2024,145,False
United States,Canada,Large language models,2021,117,True
United States,Canada,Large language models,2018,29,True
Australia,China,Large language models,2024,415,False
Australia,China,Large language models,2023,363,True
Australia,China,Large language models,2022,242,True
Australia,China,Large language models,2021,169,True
Australia,China,Large language models,2019,48,True
Australia,China,Large language models,2025,203,False
Australia,China,Large language models,2020,102,True
Canada,China,Large language models,2022,84,True
Canada,China,Large language models,2024,149,False
Canada,China,Large language models,2020,51,True
Canada,China,Large language models,2021,90,True
Canada,China,Large language models,2025,60,False
Canada,China,Large language models,2019,26,True
Canada,China,Large language models,2023,135,True
Denmark,China,Large language models,2024,32,False
France,China,Large language models,2023,40,True
France,China,Large language models,2024,38,False
Germany,China,Large language models,2024,91,False
Germany,China,Large language models,2022,61,True
Germany,China,Large language models,2021,38,True
Germany,China,Large language models,2025,43,False
Germany,China,Large language models,2023,82,True
India,China,Large language models,2024,26,False
Italy,China,Large language models,2024,53,False
Italy,China,Large language models,2025,28,False
Italy,China,Large language models,2023,43,True
Japan,China,Large language models,2023,118,True
Japan,China,Large language models,2020,49,True
Japan,China,Large language models,2024,151,False
Japan,China,Large language models,2022,80,True
Japan,China,Large language models,2019,30,True
Japan,China,Large language models,2025,71,False
Japan,China,Large language models,2021,70,True
Malaysia,China,Large language models,2024,52,False
Malaysia,China,Large language models,2025,34,False
Malaysia,China,Large language models,2023,25,True
Netherlands,China,Large language models,2021,33,True
Netherlands,China,Large language models,2023,45,True
Netherlands,China,Large language models,2024,43,False
Netherlands,China,Large language models,2025,28,False
Pakistan,China,Large language models,2025,26,False
Saudi Arabia,China,Large language models,2025,37,False
Saudi Arabia,China,Large language models,2024,54,False
Saudi Arabia,China,Large language models,2023,41,True
Singapore,China,Large language models,2020,86,True
Singapore,China,Large language models,2024,508,False
Singapore,China,Large language models,2025,253,False
Singapore,China,Large language models,2023,461,True
Singapore,China,Large language models,2019,47,True
Singapore,China,Large language models,2022,240,True
Singapore,China,Large language models,2021,177,True
South Korea,China,Large language models,2024,65,False
South Korea,China,Large language models,2023,51,True
South Korea,China,Large language models,2022,31,True
South Korea,China,Large language models,2025,36,False
Spain,China,Large language models,2024,38,False
Sweden,China,Large language models,2024,29,False
Switzerland,China,Large language models,2023,46,True
Switzerland,China,Large language models,2022,36,True
Switzerland,China,Large language models,2024,47,False
Taiwan,China,Large language models,2024,55,False
Taiwan,China,Large language models,2023,26,True
United Arab Emirates,China,Large language models,2024,56,False
United Arab Emirates,China,Large language models,2023,43,True
United Kingdom,China,Large language models,2023,365,True
United Kingdom,China,Large language models,2018,25,True
United Kingdom,China,Large language models,2020,70,True
United Kingdom,China,Large language models,2025,205,False
United Kingdom,China,Large language models,2019,41,True
United Kingdom,China,Large language models,2024,377,False
United Kingdom,China,Large language models,2022,213,True
United Kingdom,China,Large language models,2021,134,True
United States,China,Large language models,2022,617,True
United States,China,Large language models,2018,132,True
United States,China,Large language models,2023,929,True
United States,China,Large language models,2017,59,True
United States,China,Large language models,2024,959,False
United States,China,Large language models,2025,471,False
United States,China,Large language models,2020,446,True
United States,China,Large language models,2021,634,True
United States,China,Large language models,2019,257,True
United States,China,Large language models,2016,29,True
China,Denmark,Large language models,2024,32,False
China,France,Large language models,2023,40,True
China,France,Large language models,2024,38,False
Germany,France,Large language models,2024,38,False
Germany,France,Large language models,2023,33,True
Italy,France,Large language models,2024,27,False
Italy,France,Large language models,2023,28,True
United Kingdom,France,Large language models,2023,59,True
United Kingdom,France,Large language models,2022,27,True
United Kingdom,France,Large language models,2024,34,False
United States,France,Large language models,2025,25,False
United States,France,Large language models,2023,69,True
United States,France,Large language models,2021,42,True
United States,France,Large language models,2020,28,True
United States,France,Large language models,2022,36,True
United States,France,Large language models,2024,64,False
Austria,Germany,Large language models,2024,26,False
Canada,Germany,Large language models,2023,27,True
China,Germany,Large language models,2023,82,True
China,Germany,Large language models,2021,38,True
China,Germany,Large language models,2024,91,False
China,Germany,Large language models,2022,61,True
China,Germany,Large language models,2025,43,False
France,Germany,Large language models,2023,33,True
