country1,country2,field,year,num_articles,complete
Canada,Australia,Natural language processing,2023,25,True
China,Australia,Natural language processing,2022,144,True
China,Australia,Natural language processing,2023,183,True
China,Australia,Natural language processing,2019,84,True
China,Australia,Natural language processing,2016,27,True
China,Australia,Natural language processing,2024,171,False
China,Australia,Natural language processing,2017,40,True
China,Australia,Natural language processing,2021,165,True
China,Australia,Natural language processing,2020,115,True
China,Australia,Natural language processing,2018,64,True
China,Australia,Natural language processing,2025,69,False
Germany,Australia,Natural language processing,2021,33,True
Germany,Australia,Natural language processing,2020,25,True
Germany,Australia,Natural language processing,2022,29,True
Singapore,Australia,Natural language processing,2023,25,True
United Kingdom,Australia,Natural language processing,2024,48,False
United Kingdom,Australia,Natural language processing,2016,26,True
United Kingdom,Australia,Natural language processing,2023,78,True
United Kingdom,Australia,Natural language processing,2015,35,True
United Kingdom,Australia,Natural language processing,2020,36,True
United Kingdom,Australia,Natural language processing,2019,31,True
United Kingdom,Australia,Natural language processing,2021,46,True
United Kingdom,Australia,Natural language processing,2018,29,True
United Kingdom,Australia,Natural language processing,2022,46,True
United States,Australia,Natural language processing,2021,91,True
United States,Australia,Natural language processing,2020,81,True
United States,Australia,Natural language processing,2016,35,True
United States,Australia,Natural language processing,2024,95,False
United States,Australia,Natural language processing,2017,45,True
United States,Australia,Natural language processing,2019,50,True
United States,Australia,Natural language processing,2023,119,True
United States,Australia,Natural language processing,2025,61,False
United States,Australia,Natural language processing,2015,43,True
United States,Australia,Natural language processing,2018,51,True
United States,Australia,Natural language processing,2022,64,True
Germany,Austria,Natural language processing,2024,44,False
Germany,Austria,Natural language processing,2020,25,True
Germany,Austria,Natural language processing,2019,25,True
Germany,Austria,Natural language processing,2022,29,True
Germany,Austria,Natural language processing,2023,41,True
Germany,Austria,Natural language processing,2021,34,True
United Kingdom,Austria,Natural language processing,2023,28,True
United States,Austria,Natural language processing,2024,27,False
United States,Austria,Natural language processing,2023,27,True
United States,Bangladesh,Natural language processing,2023,28,True
United States,Bangladesh,Natural language processing,2025,37,False
United States,Bangladesh,Natural language processing,2024,52,False
Netherlands,Belgium,Natural language processing,2021,25,True
Netherlands,Belgium,Natural language processing,2023,27,True
United Kingdom,Belgium,Natural language processing,2023,26,True
United States,Belgium,Natural language processing,2022,26,True
United States,Brazil,Natural language processing,2021,25,True
United States,Brazil,Natural language processing,2018,26,True
United States,Brazil,Natural language processing,2019,25,True
United States,Brazil,Natural language processing,2023,35,True
Australia,Canada,Natural language processing,2023,25,True
China,Canada,Natural language processing,2020,87,True
China,Canada,Natural language processing,2018,39,True
China,Canada,Natural language processing,2022,76,True
China,Canada,Natural language processing,2017,31,True
China,Canada,Natural language processing,2023,92,True
China,Canada,Natural language processing,2021,97,True
China,Canada,Natural language processing,2024,83,False
China,Canada,Natural language processing,2025,38,False
China,Canada,Natural language processing,2019,50,True
France,Canada,Natural language processing,2023,26,True
Germany,Canada,Natural language processing,2022,31,True
Germany,Canada,Natural language processing,2018,26,True
Germany,Canada,Natural language processing,2023,36,True
Germany,Canada,Natural language processing,2017,34,True
Germany,Canada,Natural language processing,2021,30,True
Germany,Canada,Natural language processing,2019,35,True
Germany,Canada,Natural language processing,2020,27,True
India,Canada,Natural language processing,2023,35,True
United Kingdom,Canada,Natural language processing,2017,28,True
United Kingdom,Canada,Natural language processing,2022,56,True
United Kingdom,Canada,Natural language processing,2021,61,True
United Kingdom,Canada,Natural language processing,2019,29,True
United Kingdom,Canada,Natural language processing,2024,47,False
United Kingdom,Canada,Natural language processing,2023,62,True
United Kingdom,Canada,Natural language processing,2020,46,True
United States,Canada,Natural language processing,2018,120,True
United States,Canada,Natural language processing,2019,132,True
United States,Canada,Natural language processing,2024,150,False
United States,Canada,Natural language processing,2016,88,True
United States,Canada,Natural language processing,2021,187,True
United States,Canada,Natural language processing,2022,171,True
United States,Canada,Natural language processing,2015,56,True
United States,Canada,Natural language processing,2023,214,True
United States,Canada,Natural language processing,2025,84,False
United States,Canada,Natural language processing,2020,160,True
United States,Canada,Natural language processing,2017,98,True
Australia,China,Natural language processing,2019,84,True
Australia,China,Natural language processing,2022,144,True
Australia,China,Natural language processing,2024,171,False
Australia,China,Natural language processing,2020,115,True
