Country,company_count,total_ai_pubs,total_ai_patents,total_ai_workers,total_tech_workers,avg_ai_pubs_per_company,top_conference_pubs,total_citations,sp500_count,big_tech_count,genai_count
United States,587,57494,59088,170061,1826624,97.94548551959114,15895,4392512,484,11,11
China,43,22665,48660,5342,48132,527.0930232558139,8056,1060625,0,5,14
United Kingdom,12,882,345,14487,93806,73.5,35,25359,3,0,2
Japan,9,7325,11914,592,14858,813.8888888888889,870,329740,0,0,0
Ireland,8,623,1141,14807,179281,77.875,33,11251,7,0,0
Germany,7,5154,8407,2772,58994,736.2857142857143,354,158336,0,0,1
Switzerland,5,945,639,2264,13095,189.0,20,22206,2,0,0
Netherlands,5,1471,1688,779,12635,294.2,56,42842,2,0,0
France,3,138,52,731,2350,46.0,5,2664,0,0,1
Taiwan,2,41,403,115,1355,20.5,3,1544,0,0,0
Canada,2,0,6,61,300,0.0,0,22,0,0,1
South Korea,2,3140,8315,875,11799,1570.0,463,91826,0,0,0
Sweden,2,127,96,851,3675,63.5,66,3718,1,0,0
Bermuda,1,0,0,3,17,0.0,0,0,1,0,0
Finland,1,967,1298,482,25165,967.0,66,27642,0,0,0
Denmark,1,8,11,501,3239,8.0,0,77,0,0,0
Israel,1,2,4,25,106,2.0,1,96,0,0,1
